city,region,address,price,price_for_square_metre,total_area,floor,num_of_floors,num_of_rooms,subway,apartment_complex
Лиманка,,"вул. Перлинна, 10",79 124 $,1 310 $,60.4 м²,18,19,2,,ЖК П'ятдесят сьома перлина
Тернопіль,Бам,вул. Київська,82 500 $,1 086 $,76 м²,4,11,2,,ЖК Київський
Лиманка,,"вул. Перлинна, 12",59 960 $,1 339 $,44.78 м²,8,19,1,,ЖК П'ятдесят восьма перлина
Лиманка,,"вул. Перлинна, 10",59 050 $,1 333 $,44.3 м²,19,19,2,,ЖК П'ятдесят сьома перлина
Чернівці,Шевченківський,"вул. Головна, 220В",73 000 $,1 659 $,44 м²,1,9,1,,ЖК Атлант
Миколаїв,Інгульський,просп. Миру,26 500 $,697 $,38 м²,3,9,1,,
Ужгород,Великий Галагов,вул. Керченська,108 000 $,1 200 $,90 м²,2,5,3,,
Київ,Деснянський,"просп. Червоної Калини(Маяковського Володимира), 21Б",70 000 $,1 014 $,69 м²,6,9,3,,
Лиманка,,"вул. Перлинна, 12",59 000 $,1 332 $,44.31 м²,15,19,2,,ЖК П'ятдесят восьма перлина
Новосілки (Фастівський),,"вул. Приміська, 22Б",65 000 $,903 $,72 м²,4,25,2,,ЖК Одеський бульвар
Вишневе,,вул. Вітянська,41 964 $,1 104 $,40 м²,5,10,1,,ЖК Атмосфера
Лиманка,,"вул. Перлинна, 12",53 375 $,875 $,61 м²,15,19,2,,ЖК П'ятдесят восьма перлина
Вінниця,Ленінський,вул. Князів Коріатовичів,45 500 $,813 $,56 м²,3,5,3,,
Івано-Франківськ,Центр,вул. Височана Семена,34 500 $,841 $,41 м²,2,14,1,,ЖК Містечко Центральне
Харків,Салтівський,"вул. Кричевського, 29",42 600 $,804 $,53 м²,7,7,1,Героїв праці,
Дніпро,Шевченківський,"вул. 152-ї дивізії, 6",36 000 $,643 $,56 м²,2,5,2,,
Полтава,Шевченківський (Жовтневий),вул. Грабчака,49 999 $,668 $,74.8 м²,10,10,3,,
Запоріжжя,Шевченківський,просп. Моторобудівників,25 999 $,591 $,44 м²,2,4,2,,
Гостомель,,"вул. Українська, 12/1",14 500 $,659 $,22 м²,3,4,1,,ЖК Brickwood 2
Харків,Немишлянський,"вул. Андрія Ощєпкова, 16",20 500 $,446 $,38.9 м²,5,5,2,Армійська,
Харків,Шевченківський,"вул. Чернишевська, 50",170 000 $,2 429 $,70 м²,6,7,1,Університет,
Харків,Салтівський,"вул. Гвардійців-Широнінців, 72А",31 500 $,733 $,43 м²,3,19,1,Героїв праці,ЖК Меридиан
Одеса,Приморський,просп. Гагаріна,65 000 $,832 $,78.1 м²,5,5,3,,
Лиманка,,"вул. Перлинна, 10",56 600 $,1 338 $,42.3 м²,18,19,1,,ЖК П'ятдесят сьома перлина
Дніпро,Індустріальний,"вул. Янтарна, 79 корпус 9",29 500 $,474 $,62.3 м²,1,9,3,,
Одеса,Київський,вул. Будівельна,41 005 $,780 $,52.57 м²,1,7,1,,ЖК Розенталь
Вінниця,Староміський,вул. Якова Гальчевського,68 990 $,1 210 $,56.7 м²,9,10,2,,ЖК по вул. Тимощука
Гостомель,,вул. Українська,33 000 $,589 $,56 м²,2,4,2,,ЖК Brickwood 2
Слобожанське,,"вул. Сімейна, 6",71 000 $,1 533 $,46.3 м²,8,10,1,,ЖК Дніпровська Брама 2
Ірпінь,,"вул. Університетська(Карла Маркса), 3/2",58 000 $,906 $,64.4 м²,2,16,2,,ЖК Центральний-2
Харків,Немишлянський,"просп. Героїв Харкова(Московський), 158",70 000 $,574 $,121.8 м²,13,14,3,Палац спорту,ЖК Пролісок
Гостомель,,"вул. Українська, 12/1",23 150 $,614 $,37.7 м²,3,4,1,,ЖК Brickwood 2
Гостомель,,вул. Українська,25 000 $,658 $,38 м²,2,4,1,,ЖК Brickwood 2
Біла Церква,,вул. Набережна,32 000 $,598 $,53.5 м²,2,2,1,,ЖК Lake City
Одеса,Київський,просп. Небесної Сотні,35 000 $,972 $,36 м²,3,16,1,,
Одеса,Київський,вул. Будівельна,39 429 $,780 $,50.55 м²,1,7,1,,ЖК Розенталь
Гостомель,,вул. Українська,22 500 $,592 $,38 м²,3,4,1,,ЖК Brickwood 2
Одеса,Приморський,"пров. Кордонний, 2/2",99 500 $,1 574 $,63.2 м²,6,19,2,,ЖК Корфу
Одеса,Хаджибейський,"пров. Іспанський, 1 корпус 1",46 000 $,730 $,62.1 м²,12,13,2,,
Гостомель,,"вул. Українська, 12/1",23 000 $,615 $,37.4 м²,3,4,1,,ЖК Brickwood 2
Київ,Дарницький,"наб. Дніпровська, 19",90 000 $,776 $,116 м²,17,22,3,,"ЖК вул. Дніпровська набережна, 19, 19а, 19в, 23, 25"
Гостомель,,"вул. Українська, 12/1",37 000 $,617 $,60 м²,2,4,2,,ЖК Brickwood 2
Гостомель,,"вул. Українська, 12/1",17 000 $,630 $,27 м²,2,4,1,,ЖК Brickwood 2
Тернопіль,Дружба,"пров. Цегельний, 2",62 900 $,1 338 $,47 м²,4,10,2,,"ЖК пров. Цегельний, 2, 4"
Тернопіль,Оболоня,вул. Чернівецька,42 000 $,938 $,44.8 м²,7,12,1,,
Вінниця,Ленінський,"вул. Князів Коріатовичів, 157",33 000 $,1 138 $,29 м²,9,10,1,,
Гостомель,,"вул. Українська, 12/1",15 200 $,608 $,25 м²,2,4,1,,ЖК Brickwood 2
Ірпінь,,"вул. Соборна, 146",35 000 $,911 $,39.8 м²,4,9,1,,
Одеса,,"вул. Гранітна, 3",36 000 $,900 $,39.3 м²,13,16,1,,ЖК Райдужний
Гостомель,,"вул. Українська, 12/1",22 800 $,633 $,36 м²,2,3,1,,ЖК Brickwood 2
Київ,Оболонський,"вул. Академіка Оппокова, 2А",72 000 $,1 200 $,59.9 м²,3,4,2,,ЖК Forest Park
Харків,Індустріальний,"вул. Миру, 43",15 000 $,429 $,35 м²,8,9,1,Тракторний завод,ЖК Миру-3
Гостомель,,вул. Українська,13 000 $,542 $,24 м²,2,4,1,,
Бровари,,"вул. Металургів, 35",35 000 $,847 $,41.3 м²,20,25,1,,
Буча,,вул. Українська,20 500 $,586 $,35 м²,,,1,,
Харків,Київський,"вул. Клеменова дача, 11",99 000 $,1 650 $,60 м²,3,5,2,Київська,ЖК Клеменова Дача
Гостомель,,вул. Українська,19 100 $,546 $,35 м²,1,4,1,,ЖК Brickwood 2
Гостомель,,вул. Українська,19 000 $,559 $,34 м²,1,5,1,,
Вишневе,,"вул. Європейська, 32/1Б",71 000 $,1 268 $,56 м²,6,10,2,,ЖК Атмосфера
Івано-Франківськ,Центр,вул. Незалежності,26 500 $,855 $,31 м²,5,5,1,,
Харків,Індустріальний,"вул. Миру, 43",18 000 $,469 $,38.34 м²,2,9,1,Тракторний завод,ЖК Миру-3
Вишневе,,вул. Європейська,71 000 $,1 268 $,56 м²,6,9,2,,
Ірпінь,,"вул. Толстого, 50А",57 000 $,1 096 $,51.4 м²,1,5,2,,ЖК Джерело
Вінниця,Замостянський,"вул. Романа Балаби(Громова), 15",49 000 $,790 $,62 м²,4,5,2,,
Хмельницький,Болгари,вул. Горбанчука,64 000 $,780 $,82 м²,4,10,4,,
Дніпро,Центральний,"просп. Поля Олександра, 16",99 000 $,1 414 $,70 м²,7,24,2,,ЖК Кіровський
Харків,Шевченківський,"просп. Перемоги, 89",41 000 $,976 $,40.5 м²,8,9,1,Перемога,
Гостомель,,вул. Українська,38 000 $,633 $,60 м²,2,4,2,,ЖК Brickwood 2
Гостомель,,вул. Українська,15 000 $,600 $,25 м²,2,4,1,,ЖК Brickwood 2
Вишневе,,"вул. Європейська, 32/1Б",57 000 $,1 027 $,55.5 м²,2,10,2,,ЖК Атмосфера
Софіївська Борщагівка,,"вул. Павла Чубинського, 8Б",38 000 $,905 $,41.9 м²,5,10,1,,ЖК Софія Київська
Гостомель,,"вул. Українська, 12/1",22 100 $,589 $,37.5 м²,2,4,1,,ЖК Brickwood 2
Одеса,Хаджибейський,"вул. Іцхака Рабіна, 41",27 000 $,587 $,46 м²,4,5,2,,
Гостомель,,вул. Українська,13 500 $,675 $,20 м²,2,4,1,,ЖК Brickwood 2
Дніпро,Соборний,"просп. Науки(Гагаріна), 117",27 000 $,844 $,32 м²,5,5,1,,
Одеса,Суворовський,вул. Палія Семена,34 000 $,540 $,63 м²,2,10,3,,
Дніпро,Центральний,"вул. Чапленка Василя, 5",33 000 $,1 031 $,32 м²,1,4,1,Вокзальна,
Запоріжжя,Дніпровський (Ленінський),вул. Дніпровські пороги,92 000 $,1 000 $,91.97 м²,1,3,2,,ЖК Бородіно
Мукачево,Центр,вул. Ілони Зріні,86 000 $,1 118 $,76.9 м²,1,2,1,,
Харків,Шевченківський,"вул. Енвера Ахсарова, 25",25 900 $,498 $,52.4 м²,15,16,2,Олексіївська,
Софіївська Борщагівка,,просп. Героїв Небесної Сотні,82 000 $,1 640 $,49.4 м²,2,9,2,,
Гостомель,,вул. Остромирська,22 000 $,595 $,37 м²,2,4,1,,
Одеса,Приморський,"просп. Шевченка, 30",43 000 $,1 720 $,25 м²,9,13,1,,ЖК Олімпієць
Одеса,Київський,"просп. Небесної Сотні, 57",46 000 $,742 $,61.3 м²,2,5,3,,
Ірпінь,,"вул. Західна, 12",62 000 $,1 348 $,45.8 м²,3,10,1,,
Одеса,Пересипський,Миколаївська дор.,18 000 $,750 $,24 м²,3,5,1,,
Новомосковськ,,"вул. Гетьманська(Радянська), 18",38 500 $,770 $,50 м²,5,9,2,,
Запоріжжя,Комунарський,"вул. Водограйна(Гаврилова), 5",37 000 $,712 $,53 м²,5,9,2,,
Дніпро,Центральний,"просп. Поля Олександра, 66",36 000 $,766 $,47 м²,2,5,2,,
Київ,Дарницький,"вул. Чавдар Єлизавети, 13",267 000 $,1 880 $,142 м²,10,25,4,Осокорки,"ЖК вул. Єлизавети Чавдар, 13"
Одеса,Приморський,вул. Пішонівська,47 500 $,994 $,47.8 м²,8,16,1,,ЖК Акварель 3
Київ,Голосіївський,"вул. Михайла Максимовича, 28Б",165 000 $,2 075 $,79.5 м²,4,13,3,Васильківська,ЖК Нова Англія
Одеса,Приморський,"вул. Грецька, 40",50 000 $,1 121 $,44.6 м²,2,2,2,,
Ірпінь,,"вул. Українська, 48",75 000 $,1 042 $,72 м²,2,4,2,,
Дніпро,Чечелівський,пров. Енергетичний,14 000 $,553 $,25.7 м²,1,3,1,,
Ходосівка (Обухівський),,"вул. Феодосія Печерського(Піонерська), 31Б",28 900 $,785 $,36.8 м²,5,5,1,,
Запоріжжя,Заводський,"вул. Компресорна, 31",20 000 $,426 $,47 м²,1,2,2,,
Запоріжжя,Заводський,"вул. Компресорна, 31",20 000 $,426 $,47 м²,1,2,2,,
Одеса,Приморський,"вул. Басейна, 6А",47 000 $,1 267 $,37.1 м²,2,24,1,,ЖК Тридцять четверта перлина
Хмельницький,Південно-Західний,"Львівське шосе, 33/2А",53 500 $,1 205 $,42.3 м²,6,10,1,,
Одеса,Хаджибейський,вул. Академіка Філатова,35 000 $,814 $,43 м²,4,5,2,,
Чайки (Бучанський),,"вул. Валерія Лобановського, 28",67 000 $,691 $,96.4 м²,6,12,3,,ЖК Чайка
Ужгород,Центр,"вул. Швабська, 58А",50 000 $,1 087 $,38.2 м²,1,5,2,,
Чернівці,Шевченківський,"вул. Котляревського Івана, 16",65 000 $,551 $,118 м²,1,2,3,,ЖК Centr
Запоріжжя,Дніпровський (Ленінський),"вул. Сергія Синенка, 222",22 000 $,367 $,60 м²,3,9,3,,
Одеса,Приморський,пров. Мукачівський,1 700 000 $,5 909 $,287.7 м²,1,5,3,,
Дніпро,Соборний,"вул. Моссаковського Володимира, 7",115 000 $,1 716 $,67 м²,9,20,2,,ЖК iQ-House
Одеса,Приморський,"Каманина улица, 16А/2",72 000 $,1 469 $,47.9 м²,15,24,1,,ЖК Тридцять друга перлина
Київ,Печерський,"пров. Лабораторний, 7",190 000 $,2 676 $,71 м²,2,24,2,,ЖК Alter Ego
Чернівці,,вул. Сторожинецька,45 885 $,1 050 $,43.7 м²,1,10,1,,ЖК Акварелі Проспекту
Чернівці,,вул. Сторожинецька,93 960 $,900 $,104.4 м²,4,10,4,,ЖК Акварелі Проспекту
Чернівці,,вул. Сторожинецька,95 855 $,950 $,100.9 м²,4,10,4,,ЖК Акварелі Проспекту
Одеса,,"вул. Марсельська, 10",19 500 $,609 $,32 м²,2,5,1,,
Київ,Печерський,"вул. Старонаводницька, 13",549 000 $,2 577 $,213 м²,16,21,3,Печерська,
Хмельницький,,,25 431 $,700 $,36.33 м²,1,10,1,,ЖК Grand Royal
Жмеринка,,вул. Соборна(Леніна),21 000 $,621 $,33.8 м²,6,9,1,,
Вінниця,Ленінський,"вул. Магістратська, 156А",109 000 $,1 535 $,71 м²,2,6,2,,ЖК Park Tower
Вінниця,Староміський,вул. Волошкова,58 758 $,35 000 грн,69.66 м²,2,11,2,,ЖК Волошковий
Катюжанка,,"вул. Біла, 35А",19 800 $,305 $,64.4 м²,3,4,3,,
Ірпінь,,"вул. Миколи Сингаївського(Новооскольська), 6Б",96 900 $,1 548 $,62.6 м²,9,10,2,,ЖК Нові Метри PARK
Миколаїв,,просп. Миру,55 000 $,873 $,62.3 м²,5,9,3,,
Миколаїв,Заводський,вул. Біла,29 500 $,517 $,57.1 м²,2,5,3,,
Київ,Святошинський,"просп. Академіка Палладіна, 24",60 000 $,857 $,70 м²,6,9,3,Академмістечко,
Київ,Деснянський,"вул. Рональда Рейгана(Теодора Драйзера), 11",55 000 $,775 $,71 м²,4,9,3,,
Івано-Франківськ,Бам,"вул. Довженка О., 18",24 500 $,845 $,29 м²,5,5,1,,
Запоріжжя,Шевченківський,просп. Моторобудівників,13 800 $,276 $,50 м²,3,4,2,,
Ужгород,,"вул. Тлехаса, 64а, 64б",58 630 $,1 000 $,58.63 м²,2,9,2,,ЖК West Towers
Ужгород,,"вул. Тлехаса, 64а, 64б",61 040 $,1 000 $,61.04 м²,2,9,2,,ЖК West Towers
Ужгород,,"вул. Тлехаса, 19",61 040 $,1 000 $,61.04 м²,2,9,2,,ЖК West Towers
Ужгород,,"вул. Тлехаса, 19",57 988 $,950 $,61.04 м²,2,9,2,,ЖК West Towers
Ужгород,,"вул. Тлехаса, 19",56 810 $,1 000 $,56.81 м²,2,9,2,,ЖК West Towers
Ужгород,,"вул. Тлехаса, 64а, 64б",62 491 $,1 100 $,56.81 м²,2,9,2,,ЖК West Towers
Вінниця,Замостянський,вул. Павла Тичини,51 999 $,1 083 $,48 м²,5,9,2,,
Луцьк,33 мікрорайон,"просп. Молоді, 10А",38 000 $,913 $,41.6 м²,4,5,2,,
Тернопіль,Бам,вул. Іллєнка,51 500 $,1 163 $,44.3 м²,10,10,1,,ЖК по вул. Головацького
Вінниця,Староміський,вул. Волошкова,57 830 $,35 000 грн,68.56 м²,2,11,2,,ЖК Волошковий
Рівне,Ювілейний,"вул. Соборна, 321",33 000 $,647 $,51 м²,5,5,2,,
Вінниця,Староміський,вул. Волошкова,57 830 $,35 000 грн,68.56 м²,2,11,2,,ЖК Волошковий
Рівне,Ювілейний,"вул. Соборна, 321",33 000 $,647 $,51 м²,5,5,2,,
Вінниця,Замостянський,вул. Стрілецька,38 500 $,819 $,47 м²,2,5,2,,
Харків,Київський,"Конституції майд., 20",68 000 $,1 063 $,64 м²,4,5,3,Майдан Конституції,
Київ,Деснянський,"вул. Ореста Левицького(Академіка Курчатова), 11",48 000 $,1 098 $,43.7 м²,5,9,2,,
Львів,Шевченківський,вул. Орлика,83 382 $,1 443 $,57.8 м²,2,5,2,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,88 543 $,1 552 $,57.05 м²,2,5,2,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,51 817 $,1 532 $,33.82 м²,1,5,1,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,85 974 $,1 383 $,62.17 м²,2,5,2,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,56 141 $,1 453 $,38.65 м²,1,5,1,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,121 702 $,1 303 $,93.38 м²,3,5,3,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,54 476 $,1 413 $,38.56 м²,1,5,1,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,67 334 $,1 472 $,45.73 м²,1,5,1,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,55 223 $,1 443 $,38.28 м²,1,5,1,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,53 207 $,1 393 $,38.2 м²,1,5,1,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,50 380 $,1 333 $,37.79 м²,1,5,1,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,79 698 $,1 393 $,57.22 м²,2,5,2,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,48 207 $,1 333 $,36.16 м²,1,5,1,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,52 799 $,1 443 $,36.6 м²,1,5,1,,ЖК SILENT PARK
Львів,Шевченківський,вул. Орлика,109 732 $,1 343 $,81.7 м²,3,5,3,,ЖК SILENT PARK
Гостомель,,вул. Українська,24 276 $,27 005 грн,37.3 м²,4,4,1,,ЖК Brickwood 2
Вінниця,Замостянський,вул. Павла Корнелюка(Станіславського),59 999 $,1 200 $,50 м²,2,9,2,,
Одеса,Хаджибейський,"вул. Профспілкова, 9А",29 999 $,1 154 $,26 м²,10,11,1,,ЖК Акварель 4
Київ,Голосіївський,"пров. Лисогірський, 20",77 134 $,1 043 $,73.95 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",38 937 $,1 128 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",41 622 $,1 165 $,35.72 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",40 560 $,1 175 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",56 911 $,1 316 $,43.26 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",77 134 $,1 043 $,73.95 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",65 379 $,1 081 $,60.5 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",57 977 $,1 081 $,53.65 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",81 304 $,1 099 $,73.95 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",87 599 $,1 879 $,46.61 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",93 256 $,1 104 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",68 222 $,1 128 $,60.5 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",41 286 $,1 156 $,35.72 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",46 891 $,1 175 $,39.92 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",66 418 $,1 879 $,35.34 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",68 560 $,1 128 $,60.8 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",81 303 $,1 879 $,43.26 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",81 303 $,1 879 $,43.26 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",68 560 $,1 128 $,60.8 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",84 779 $,1 146 $,73.95 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",83 389 $,1 128 $,73.95 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",57 977 $,1 081 $,53.65 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",57 977 $,1 081 $,53.65 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",81 304 $,1 099 $,73.95 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",45 374 $,1 316 $,34.49 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",87 899 $,1 879 $,46.77 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",83 389 $,1 128 $,73.95 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",79 914 $,1 081 $,73.95 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",80 194 $,1 879 $,42.67 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",81 304 $,1 099 $,73.95 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",81 303 $,1 879 $,43.26 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",52 847 $,1 222 $,43.26 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",64 155 $,1 504 $,42.67 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",102 332 $,1 691 $,60.5 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",79 914 $,1 081 $,73.95 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",55 377 $,1 184 $,46.77 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",134 924 $,1 597 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",134 924 $,1 597 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",134 924 $,1 597 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",134 924 $,1 597 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",102 840 $,1 691 $,60.8 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",64 896 $,1 879 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",64 820 $,1 879 $,34.49 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",66 418 $,1 879 $,35.34 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",64 820 $,1 879 $,34.49 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",57 135 $,1 222 $,46.77 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",87 899 $,1 879 $,46.77 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",64 820 $,1 879 $,34.49 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",64 896 $,1 879 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",68 222 $,1 128 $,60.5 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",102 332 $,1 691 $,60.5 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",99 209 $,1 175 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",57 135 $,1 222 $,46.77 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",43 753 $,1 269 $,34.49 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",68 222 $,1 128 $,60.5 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",57 135 $,1 222 $,46.77 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",38 937 $,1 128 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",52 847 $,1 222 $,43.26 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",40 560 $,1 175 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",52 847 $,1 222 $,43.26 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",95 240 $,1 128 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",55 377 $,1 184 $,46.77 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",38 937 $,1 128 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",38 937 $,1 128 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",38 937 $,1 128 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",76 705 $,1 222 $,62.79 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",54 937 $,1 175 $,46.77 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",55 377 $,1 184 $,46.77 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",95 240 $,1 128 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",74 274 $,1 222 $,60.8 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",37 964 $,1 099 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",68 222 $,1 128 $,60.5 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",71 417 $,1 175 $,60.8 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",95 240 $,1 128 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",55 377 $,1 184 $,46.77 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",68 222 $,1 128 $,60.5 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",37 964 $,1 099 $,34.53 м²,1,25,1,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",68 222 $,1 128 $,60.5 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",95 240 $,1 128 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",68 222 $,1 128 $,60.5 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",95 240 $,1 128 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",71 417 $,1 175 $,60.8 м²,2,25,2,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",93 256 $,1 104 $,84.46 м²,3,25,3,,ЖК Central Hills
Київ,Голосіївський,"пров. Лисогірський, 20",88 097 $,1 043 $,84.46 м²,3,25,3,,ЖК Central Hills
