City,Region,Address,Price(USD),Price for square metre(USD),Total area(m²),Floor,Num of floors,Num of rooms,Subway,Apartment complex
Тернопіль,Центр,вул. Гоголя,52000,754,69.0,1,3,3,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,вул. Анатолія Бортняка,79000,1310,60.3,2,9,2,Немає в цьому місті,ЖК Мікрорайон Поділля
Ірпінь,Не відомо,"вул. Гагаріна, 15",45000,865,52.0,9,9,2,Немає в цьому місті,Не ЖК
Миколаїв,Центральний,просп. Центральний,34000,756,45.0,2,5,2,Немає в цьому місті,Не ЖК
Київ,Дарницький,пров. Луговий,29500,1475,20.0,3,3,1,Бориспільська,Не ЖК
Київ,Дарницький,вул. Урлівська,155000,1845,84.0,14,25,3,Осокорки,Не ЖК
Агрономічне,Не відомо,вул. Шевченка,60000,882,68.0,1,3,2,Немає в цьому місті,Не ЖК
Івано-Франківськ,Набережна,"вул. Ленкавського, 34/1",64240,880,73.0,12,16,2,Немає в цьому місті,ЖК Manhattan
Київ,Шевченківський,"вул. Олександра Кониського(Тургенєвська), 46/11",435000,3000,145.0,7,7,2,Університет,"ЖК вул. Тургенєвська, 46/11"
Вінниця,Ленінський,"вул. Анатолія Бортняка, 1",175000,1817,96.3,5,9,3,Немає в цьому місті,ЖК Мікрорайон Поділля
Ірпінь,Не відомо,"вул. Ломоносова, 81",45000,491,91.6,3,3,2,Немає в цьому місті,Не ЖК
Рівне,Центр,"вул. Степана Бандери, 12Б",151514,1100,137.74,4,18,4,Немає в цьому місті,ЖК Sky Hall
Рівне,Центр,"вул. Степана Бандери, 12Б",237540,2000,118.77,3,18,3,Немає в цьому місті,ЖК Sky Hall
Дніпро,Не відомо,"вул. Степана Бандери(Шмідта), 15",64608,960,67.3,2,21,2,Не вказано,ЖК Баку
Вінниця,Замостянський,"вул. Садова, 22А",79000,914,86.4,7,8,3,Немає в цьому місті,ЖК Садовий
Миколаїв,Корабельний,просп. Корабелів,45499,562,81.0,3,9,4,Немає в цьому місті,Не ЖК
Ірпінь,Не відомо,вул. Троїцька,32500,985,33.0,3,4,1,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,вул. Келецька,79500,1214,65.5,2,10,2,Немає в цьому місті,Не ЖК
Ірпінь,Не відомо,"вул. Достоєвського, 1В/6",55000,1368,40.2,4,9,1,Немає в цьому місті,ЖК Синергія Сіті
Тернопіль,Не відомо,"вул. Тролейбусна, 4",23859,693,35.72,3,10,1,Немає в цьому місті,"ЖК вул. Тролейбусна, 4"
Миколаїв,Центральний,"вул. Адміральська, 31Б",59000,1113,53.0,13,14,1,Немає в цьому місті,ЖК Адмірал
Миколаїв,Заводський,вул. Крилова,30499,530,57.5,1,5,3,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,"вул. Магістратська, 8",43999,1100,40.0,3,3,2,Немає в цьому місті,Не ЖК
Миколаїв,Інгульський,вул. Шкільна,41999,532,79.0,1,2,3,Немає в цьому місті,Не ЖК
Вінниця,Замостянський,"вул. Замостянська, 34А",80000,964,83.0,2,8,2,Немає в цьому місті,"ЖК вул. Замостянська (50-річчя Перемоги), 34а"
Миколаїв,Центральний,"просп. Героїв України, 11Б",40000,1031,38.8,6,11,1,Немає в цьому місті,ЖК Гранд Парк
Ірпінь,Не відомо,вул. Кобилянської Ольги,52000,974,53.4,5,10,2,Немає в цьому місті,Не ЖК
Миколаїв,Інгульський,"вул. Космонавтів, 126/2",23000,548,42.0,2,9,1,Немає в цьому місті,Не ЖК
Миколаїв,Центральний,"просп. Героїв України, 11Б",26700,340,78.5,4,11,2,Немає в цьому місті,ЖК Гранд Парк
Луцьк,Гуща,"Єршова вулиця, 9А",112500,750,150.0,9,10,5,Немає в цьому місті,ЖК Британія Hall
Вінниця,Ленінський,просп. Юності,74999,1566,47.9,2,11,2,Немає в цьому місті,ЖК Prestige Hall
Миколаїв,Центральний,"вул. Потьомкінська, 129",39999,645,62.0,10,10,2,Немає в цьому місті,ЖК Потьомкінський
Миколаїв,Заводський,"вул. Лазурна, 9/21",88000,1000,88.0,9,9,2,Немає в цьому місті,ЖК Рів'єра
Миколаїв,Заводський,"вул. Лазурна, 9/21",49000,1000,49.0,4,9,1,Немає в цьому місті,ЖК Рів'єра
Миколаїв,Інгульський,"вул. Космонавтів, 66В",34000,501,67.9,4,9,2,Немає в цьому місті,Не ЖК
Львів,Шевченківський,"вул. Миколайчука, 17",142465,1350,105.53,3,7,3,Немає в цьому місті,Не ЖК
Ужгород,Новий,"вул. Легоцького, 80",143000,2072,69.0,2,9,2,Немає в цьому місті,ЖК Park Land
Ірпінь,Не відомо,вул. Достоєвського,28193,1128,25.0,1,7,1,Немає в цьому місті,ЖК Синергія Сіті
Агрономічне,Не відомо,вул. Шевченка,37000,740,50.0,2,4,1,Немає в цьому місті,Не ЖК
Миколаїв,Заводський,"вул. Защука, 25",18000,497,36.2,7,9,1,Немає в цьому місті,Не ЖК
Новосілки (Фастівський),Не відомо,"вул. Олександрівська, 3",52500,845,62.1,13,14,2,Немає в цьому місті,ЖК Нові Теремки
Вінниця,Ленінський,вул. Василя Порика,39500,878,45.0,1,5,2,Немає в цьому місті,Не ЖК
Миколаїв,Заводський,вул. Шосейна,18900,430,45.0,2,5,2,Немає в цьому місті,Не ЖК
Хмельницький,Ракове,вул. Героїв АТО,25500,823,30.9,3,5,1,Немає в цьому місті,Не ЖК
Бровари,Не відомо,бул. Незалежності,70000,1045,67.0,4,9,3,Немає в цьому місті,Не ЖК
Львів,Не відомо,"вул. Замарстинівська, 76",85350,1855,46.0,1,6,1,Немає в цьому місті,ЖК Avalon Yard
Львів,Не відомо,"вул. Замарстинівська, 76",85450,1818,47.0,1,8,1,Немає в цьому місті,ЖК Avalon Yard
Кривий Ріг,Довгинцівський,"вул. Героїв АТО(Димитрова), 72А",25900,400,64.75,4,5,3,Немає в цьому місті,Не ЖК
Одеса,Приморський,"пров. Морехідний, 2/2",66000,1500,44.0,1,20,1,Немає в цьому місті,ЖК Морська симфонія
Київ,Солом'янський,"вул. Максима Кривоноса, 29",36000,1224,29.4,4,9,1,Вокзальна,Не ЖК
Дніпро,Не відомо,"вул. Степана Бандери(Шмідта), 15",55400,1000,55.4,1,21,1,Не вказано,ЖК Баку
Рівне,Істамбул,"вул. Чорновола В'ячеслава, 82А",33421,950,35.18,1,7,1,Немає в цьому місті,ЖК Laketown
Вінниця,Ленінський,вул. Праведників світу(Максимовича),47000,1119,42.0,4,10,1,Немає в цьому місті,ЖК Forest Home
Гатне,Не відомо,"вул. Київська(Карпа Валовня), 8/1",116000,1850,62.7,5,5,2,Немає в цьому місті,ЖК Family
Ірпінь,Не відомо,вул. Виговського,65000,985,66.0,4,10,2,Немає в цьому місті,ЖК Chehov Парк Квартал
Ірпінь,Не відомо,вул. Кобилянської Ольги,63520,2117,38.0,2,10,1,Немає в цьому місті,ЖК Синергія Сіті
Біла Церква,Не відомо,вул. Чорних Запорожців(Леваневського),72000,973,74.0,5,10,2,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,вул. Трамвайна,112000,1179,95.0,3,7,3,Немає в цьому місті,ЖК Avalon 5
Біла Церква,ДНС,"вул. Зелена, 25",89000,1113,80.0,8,10,2,Немає в цьому місті,ЖК Зелений
Львів,Шевченківський,"вул. Городницька, 9",149000,2483,60.0,7,9,2,Немає в цьому місті,Не ЖК
Львів,Шевченківський,"вул. Городницька, 9",129000,2150,60.0,7,9,1,Немає в цьому місті,Не ЖК
Вишневе,Не відомо,"вул. В'ячеслава Чорновола, 50А",45500,1342,33.9,7,10,1,Немає в цьому місті,ЖК Чорновола
Вінниця,Ленінський,"вул. Анатолія Бортняка, 16",68500,1756,39.0,9,9,1,Немає в цьому місті,Не ЖК
Вишневе,Не відомо,"пров. Весняний(Радянський), 2",53000,1460,36.3,2,10,1,Немає в цьому місті,ЖК Чорновола
Вінниця,Ленінський,вул. Пирогова,66000,815,81.0,8,10,4,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,вул. Пирогова,66000,815,81.0,8,10,4,Немає в цьому місті,Не ЖК
Тернопіль,Бам,вул. Академіка Сергія Корольова,29000,725,40.0,9,9,1,Немає в цьому місті,Не ЖК
Ірпінь,Не відомо,вул. Достоєвського,48373,880,55.0,2,10,2,Немає в цьому місті,ЖК Синергія Сіті
Тернопіль,Східний,вул. Смиковецька,19500,464,42.0,4,4,1,Немає в цьому місті,Не ЖК
Гатне,Не відомо,"вул. Сімейна, 3",80000,863,92.7,4,4,3,Немає в цьому місті,ЖК Family-2
Одеса,Приморський,"пров. Морехідний, 2/2",115668,1629,71.0,2,20,2,Немає в цьому місті,ЖК Морська симфонія
Дніпро,Не відомо,"вул. Степана Бандери(Шмідта), 15",80784,1020,79.2,2,21,2,Не вказано,ЖК Баку
Харків,Немишлянський,просп. Героїв Харкова(Московський),150000,1500,100.0,11,14,3,Палац спорту,ЖК Пролісок
Ужгород,Не відомо,"вул. Мальовнича, 8",67200,1600,42.0,1,7,1,Немає в цьому місті,ЖК Grand Hills
Харків,Немишлянський,"просп. Героїв Харкова(Московський), 158",62000,1378,45.0,12,14,1,Палац спорту,ЖК Пролісок
Вінниця,Ленінський,вул. Миколаївська,68000,1063,64.0,5,8,2,Немає в цьому місті,Не ЖК
Мукачево,Росвигово,"вул. Митрополита Володимира, 33",59375,950,62.5,2,4,2,Немає в цьому місті,Не ЖК
Хмельницький,Не відомо,"вул. Тернопільська, 44/1",67000,1031,65.0,2,5,2,Немає в цьому місті,Не ЖК
Івано-Франківськ,Брати,вул. Надвірнянська,42000,1077,39.0,8,9,1,Немає в цьому місті,Не ЖК
Львів,Шевченківський,вул. Панча Петра,99990,1562,64.0,12,16,2,Немає в цьому місті,Не ЖК
Миколаїв,Заводський,"вул. Озерна, 47Б",86000,1211,71.0,5,10,3,Немає в цьому місті,Не ЖК
Івано-Франківськ,Пасічна,"вул. Пасічна, 15А",53000,797,66.5,2,10,2,Немає в цьому місті,ЖК Лемківський
Івано-Франківськ,Центр,"вул. Пулюя І., 1",37000,860,43.0,5,5,2,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,"вул. Зодчих, 19",258000,1883,138.0,9,10,4,Немає в цьому місті,ЖК Мікрорайон Поділля
Вінниця,Староміський,"вул. Марії Приймаченко(Покришкіна), 8Г",75999,1101,69.0,8,12,2,Немає в цьому місті,ЖК Європейський квартал
Харків,Салтівський,"просп. Героїв Харкова(Московський), 193А",30000,577,52.0,12,16,1,Завод імені Малишева,ЖК Луч
Івано-Франківськ,Центр,"вул. Тараса Шевченка, 67",88500,1752,50.5,6,12,1,Немає в цьому місті,ЖК Royal Hall
Біла Церква,ДНС,"вул. Василя Стуса, 10",37500,1071,35.0,5,9,1,Немає в цьому місті,Не ЖК
Івано-Франківськ,Позитрон,"вул. Симоненка Василя, 39",62000,1069,58.0,6,10,2,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,"просп. Юності, 16А",85000,1417,60.0,11,11,2,Немає в цьому місті,ЖК Prestige Hall
Вінниця,Не відомо,"вул. Отамана Сітка, 11",55000,866,63.5,3,3,2,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,"вул. Миколаївська, 26",105000,1167,91.4,3,4,2,Немає в цьому місті,Не ЖК
Полтава,Шевченківський (Жовтневий),"вул. Конституції, 13",275000,2200,125.0,3,7,3,Немає в цьому місті,Не ЖК
Ужгород,Не відомо,"вул. Мальовнича, 8",61600,1400,44.0,1,5,1,Немає в цьому місті,ЖК Grand Hills
Черкаси,Соснівський,"вул. Тараскова, 5",36000,659,54.6,6,10,2,Немає в цьому місті,"ЖК вул. Тараскова, 5"
Харків,Шевченківський,"просп. Людвіга Свободи, 40",50000,758,66.0,10,12,3,Олексіївська,Не ЖК
Вінниця,Ленінський,пров. Селянський,44000,1189,37.0,3,3,2,Немає в цьому місті,Не ЖК
Вишневе,Не відомо,"вул. Лесі Українки, 62Б",128000,1362,94.0,3,11,3,Немає в цьому місті,ЖК Променада
Вінниця,Ленінський,вул. Костянтина Василенка,49500,990,50.0,1,11,1,Немає в цьому місті,Не ЖК
Рівне,Північний,вул. Слава Переможцям,51999,1156,45.0,1,4,1,Немає в цьому місті,Не ЖК
Мукачево,Центр,вул. 26-го Жовтня,210000,1173,179.0,3,4,4,Немає в цьому місті,Не ЖК
Івано-Франківськ,Центр,вул. Гетьмана Івана Мазепи,110000,1129,97.4,6,12,3,Немає в цьому місті,ЖК HydroPark DeLuxe
Запоріжжя,Дніпровський (Ленінський),"вул. Таганська, 16",65000,722,90.0,12,14,4,Немає в цьому місті,Не ЖК
Суми,Ковпаковський,"вул. Польська(Лермонтова), 1А",52000,912,57.0,3,10,2,Немає в цьому місті,Не ЖК
Тернопіль,Бам,"вул. 15-го Квітня, 7",45000,692,64.8,4,9,3,Немає в цьому місті,Не ЖК
Тернопіль,Бам,"вул. 15-го Квітня, 7",45000,692,64.8,4,9,3,Немає в цьому місті,Не ЖК
Хмельницький,Південно-Західний,"Львівське шосе, 33/2",53500,1305,41.0,8,10,1,Немає в цьому місті,Не ЖК
Київ,Подільський,"просп. Європейського Союзу(Правди), 41В",96000,1959,48.6,3,20,1,Нивки,Не ЖК
Київ,Голосіївський,"вул. Василя Касіяна, 10",47600,1625,29.3,8,9,1,Іподром,Не ЖК
Одеса,Приморський,"плато Гагарінське, 9",58875,1675,34.8,20,23,1,Немає в цьому місті,ЖК «Гагарінський»
Ужгород,Компотний,"вул. Закарпатська, 36",115000,1898,60.6,7,7,2,Немає в цьому місті,ЖК Simple
Хмельницький,Дубове,"вул. Козацька, 61/1",24500,845,29.0,4,5,1,Немає в цьому місті,Не ЖК
Рівне,Ювілейний,"вул. Млинівська, 33",52000,852,61.0,1,9,3,Немає в цьому місті,Не ЖК
Київ,Святошинський,"вул. Львівська, 15",87000,2164,40.2,21,26,1,Святошин,ЖК Святобор
Хмельницький,Центр,"вул. Проскурівського Підпілля, 157",54800,770,71.2,2,17,2,Немає в цьому місті,ЖК Парковий Бульвар
Київ,Святошинський,"вул. Симиренка, 24А",31200,1156,27.0,5,9,1,Не вказано,Не ЖК
Ірпінь,Не відомо,"вул. Університетська(Карла Маркса), 2Ф/4",52000,1106,47.0,11,11,1,Немає в цьому місті,ЖК Карат
Вінниця,Ленінський,"вул. Андрія Первозванного, 60",39500,840,47.0,5,5,2,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,"вул. 600-річчя, 2",38500,1203,32.0,2,5,1,Немає в цьому місті,Не ЖК
Петропавлівська Борщагівка,Не відомо,"вул. Оксамитова, 20Г",68000,1608,42.3,4,11,1,Немає в цьому місті,ЖК Щасливий на Петропавловці
Вінниця,Замостянський,вул. Героїв Нацгвардії(Некрасова),81900,1204,68.0,6,9,2,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,вул. Андрія Первозванного,55500,1291,43.0,2,9,1,Немає в цьому місті,Не ЖК
Харків,Основ’янський,"вул. Вернадського, 1",135000,1098,123.1,4,10,3,Проспект Гагаріна,Не ЖК
Ужгород,Новий,"вул. Капушанська, 168А",87000,1706,51.0,6,9,1,Немає в цьому місті,ЖК Сity Line
Київ,Деснянський,"вул. Будищанська, 9/40",65000,949,68.5,6,10,3,Не вказано,Не ЖК
Київ,Голосіївський,"вул. Теремківська, 12",65999,1179,55.9,16,16,2,Теремки,Не ЖК
Київ,Шевченківський,"вул. Академіка Ромоданова(Пугачова), 17",84000,1696,49.54,2,5,2,Лук'янівська,Не ЖК
Київ,Подільський,"вул. Олександра Олеся, 2В",73730,1170,62.9,22,25,2,Нивки,Не ЖК
Вишневе,Не відомо,"вул. Південна, 15",119900,922,126.7,5,5,3,Немає в цьому місті,Не ЖК
Вінниця,Староміський,"вул. Марії Приймаченко(Покришкіна), 8Г корпус 3",107000,1198,89.3,8,12,2,Немає в цьому місті,ЖК Європейський квартал
Буча,Не відомо,"вул. Бориса Гмирі, 10",63000,1125,55.9,1,8,2,Немає в цьому місті,ЖК Квартал Буча
Вінниця,Ленінський,вул. Анатолія Бортняка,62000,1442,43.0,1,9,1,Немає в цьому місті,ЖК Мікрорайон Поділля
Вінниця,Ленінський,вул. Миколаївська,79999,952,84.0,5,8,3,Немає в цьому місті,Не ЖК
Київ,Дарницький,"вул. Вереснева, 14/39",55000,1242,44.3,1,4,2,Не вказано,Не ЖК
Суми,Ковпаковський,"2-а вул. Залізнична, 22А",26000,388,66.62,2,3,3,Немає в цьому місті,Не ЖК
Київ,Дарницький,"просп. Миколи Бажана, 10",73000,1141,63.9,20,20,2,Осокорки,Не ЖК
Софіївська Борщагівка,Не відомо,"вул. Павла Чубинського, 8В",32000,1000,31.9,1,10,1,Немає в цьому місті,Не ЖК
Київ,Не відомо,"просп. Повітряних Сил(Повітрофлотський), 56",86000,1654,53.1,20,26,1,Не вказано,ЖК Ok'Land
Київ,Дніпровський,"бул. Ігоря Шамо(Олексія Давидова), 2/7",91999,1333,69.0,5,16,3,Лівобережна,Не ЖК
Дніпро,Чечелівський,"вул. Незалежності(Титова), 20",47000,839,56.0,2,5,3,Не вказано,Не ЖК
Київ,Оболонський,"просп. Оболонський, 34",99000,1402,70.6,9,9,3,Героїв Дніпра,Не ЖК
Дніпро,Центральний,"просп. Поля Олександра, 1/9",68000,883,76.7,8,9,3,Не вказано,Не ЖК
Київ,Деснянський,"вул. Оноре де Бальзака, 55",60000,1091,53.77,13,15,2,Не вказано,Не ЖК
Вінниця,Замостянський,"вул. Сергія Зулінського, 39",36990,771,48.0,9,9,2,Немає в цьому місті,Не ЖК
Коцюбинське (Київ),Не відомо,"вул. Пономарьова, 26 корпус 3",48999,1310,37.4,21,24,1,Немає в цьому місті,ЖК Атлант 2
Тернопіль,Канада,"вул. Вербицького Михайла, 7",99000,1338,74.0,3,10,2,Немає в цьому місті,Не ЖК
Тернопіль,Канада,"вул. Вербицького Михайла, 7",63000,1340,47.0,3,10,1,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,пров. Цегельний,72000,1075,67.0,2,20,2,Немає в цьому місті,ЖК Central Park Vinnytsia
Хмельницький,Виставка,просп. Миру,87000,1238,70.3,2,10,2,Немає в цьому місті,Не ЖК
Київ,Подільський,"вул. Віктора Некрасова(Північно-Сирецька), 8",119900,1862,64.4,23,26,2,Не вказано,ЖК Dibrova Park
Полтава,Київський,вул. Петлюри Симона,146000,1460,100.0,6,8,3,Немає в цьому місті,Не ЖК
Вінниця,Замостянський,"вул. В'ячеслава Чорновола, 4",45500,734,62.0,9,9,2,Немає в цьому місті,Не ЖК
Одеса,Пересипський,"вул. Героїв оборони Одеси, 24",92000,1150,80.0,11,14,2,Немає в цьому місті,ЖК Гранд Парк
Київ,Солом'янський,"просп. Повітряних Сил(Повітрофлотський), 56Б",62000,1409,43.8,2,26,1,Не вказано,Не ЖК
Ірпінь,Не відомо,"вул. Давидчука, 42",36000,839,42.9,0,5,1,Немає в цьому місті,Не ЖК
Ужгород,Не відомо,"вул. Мальовнича, 8",51520,1400,36.8,1,4,1,Немає в цьому місті,ЖК Grand Hills
Львів,Шевченківський,вул. Шевченка Тараса,110000,1910,57.6,11,12,2,Немає в цьому місті,ЖК Семицвіт
Київ,Солом'янський,"вул. Академіка Шалімова(Героїв Севастополя), 27",54000,903,59.8,5,5,3,Політехнічний інститут,Не ЖК
Київ,Печерський,"вул. Василя Тютюнника, 37/1",157499,2461,64.0,13,26,1,Палац Україна,ЖК Престиж Холл
Софіївська Борщагівка,Не відомо,"вул. Соборна, 105В/4",29500,922,32.4,6,11,1,Немає в цьому місті,Не ЖК
Київ,Шевченківський,"вул. В'ячеслава Чорновола, 26/2",39500,1646,24.0,4,4,1,Лук'янівська,Не ЖК
Хмельницький,Озерна,"вул. Кармелюка, 3В",48500,713,68.0,8,10,2,Немає в цьому місті,ЖК Озерний 2020
Миколаїв,Інгульський,просп. Миру,48000,600,80.0,5,10,4,Немає в цьому місті,Не ЖК
Вінниця,Староміський,вул. Костя Широцького,36900,1025,35.6,2,5,1,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,вул. Юзвинська,60000,857,70.0,1,3,2,Немає в цьому місті,Не ЖК
Київ,Оболонський,"вул. Макіївська, 6",35000,1067,32.8,3,5,1,Не вказано,Не ЖК
Тернопіль,Східний,вул. Довженка Олександра,37500,833,45.0,2,9,1,Немає в цьому місті,Не ЖК
Вінниця,Замостянський,просп. Коцюбинського,50000,1563,32.0,2,5,1,Немає в цьому місті,Не ЖК
Вінниця,Замостянський,"вул. Сергія Зулінського, 49",45000,726,62.6,9,10,3,Немає в цьому місті,Не ЖК
Хмельницький,Озерна,"вул. Кармелюка, 4/2",58000,1196,48.5,5,11,1,Немає в цьому місті,ЖК Чайка
Київ,Дарницький,"вул. Юрія Литвинського(Російська), 39/14",55000,1005,54.7,1,4,3,Не вказано,Не ЖК
Київ,Дарницький,"Харківське шосе, 190",65000,1667,39.0,1,24,1,Бориспільська,Не ЖК
Київ,Шевченківський,"вул. Шолуденка, 30",220000,2651,82.8,8,25,3,Не вказано,Не ЖК
Київ,Подільський,"вул. Олександра Олеся, 5",115000,1885,61.0,13,16,2,Оболонь,ЖК Варшавський 2
Київ,Шевченківський,"пров. Алли Горської(Чеслава Бєлінського), 10",65000,1912,34.0,2,5,1,Університет,Не ЖК
Дніпро,Не відомо,"вул. Степана Бандери(Шмідта), 15",76908,1020,75.4,2,21,2,Не вказано,ЖК Баку
Рівне,Відінська,"вул. Галицького Данила, 5",25000,992,25.2,8,9,1,Немає в цьому місті,Не ЖК
Київ,Дарницький,"вул. Зарічна, 6 корпус 3",89000,1586,56.1,2,26,2,Осокорки,ЖК Славутич 2.0
Київ,Подільський,"просп. Василя Порика, 7Б",53800,1345,40.0,15,16,1,Не вказано,Не ЖК
Хмельницький,Центр,вул. Проскурівського Підпілля,60000,1250,48.0,1,16,1,Немає в цьому місті,ЖК Парковий Бульвар
Ірпінь,Не відомо,"вул. Кобилянської Ольги, 1В/5",72500,854,84.9,5,9,3,Немає в цьому місті,ЖК Синергія Сіті
Київ,Печерський,"вул. Михайла Бойчука, 41Б",200000,2778,72.0,16,26,2,Видубичі,ЖК Новопечерська Вежа
Вінниця,Замостянський,вул. Академіка Янгеля,59999,1579,38.0,1,16,1,Немає в цьому місті,ЖК Дім на Янгеля
Київ,Оболонський,"вул. Вишгородська, 48А",50599,1117,45.3,2,5,2,Мінська,Не ЖК
Харків,Індустріальний,"пров. Академіка Підгорного, 7/59",9000,391,23.8,1,2,1,Армійська,Не ЖК
Київ,Святошинський,"вул. Литвиненко-Вольгемут, 5А",32000,1000,31.8,2,5,1,Не вказано,Не ЖК
Вінниця,Замостянський,вул. Антонова Олега,41600,1156,36.0,3,9,1,Немає в цьому місті,Не ЖК
Бровари,Не відомо,"вул. Київська, 249А",57000,1000,56.7,9,24,2,Немає в цьому місті,Не ЖК
Київ,Деснянський,"вул. Милославська, 23Б",33000,902,36.6,7,9,1,Не вказано,Не ЖК
Ірпінь,Не відомо,"вул. Григорія Сковороди, 1",95000,1056,90.0,7,18,2,Немає в цьому місті,ЖК Гранд Лайф
Тернопіль,Бам,"просп. Злуки, 18",56900,1423,40.0,6,9,1,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,просп. Космонавтів,38500,1203,32.0,5,5,1,Немає в цьому місті,Не ЖК
Київ,Печерський,"вул. Василя Тютюнника, 5Б",167000,1896,88.1,3,10,3,Олімпійська,Не ЖК
Київ,Шевченківський,"вул. Салютна, 2/2",129000,3071,42.0,16,16,1,Нивки,ЖК Файна Таун
Івано-Франківськ,Центр,"вул. Коновальця Євгена, 35",90000,1000,90.0,6,16,3,Немає в цьому місті,ЖК Main House
Вінниця,Ленінський,"вул. Миколаївська, 27",69500,1565,44.4,3,8,1,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,вул. Соборна,130000,963,135.0,3,4,3,Немає в цьому місті,Не ЖК
Київ,Оболонський,"просп. Володимира Івасюка, 18А",280000,1505,186.0,4,16,4,Мінська,Не ЖК
Хмельницький,Виставка,"вул. Озерна, 4",75000,1040,72.1,2,10,2,Немає в цьому місті,ЖК Приозерний
Тернопіль,Центр,вул. Грушевського Михайла,65000,1226,53.0,6,6,2,Немає в цьому місті,Не ЖК
Харків,Київський,"вул. Новоолександрівська, 54А корпус 5",50000,746,67.0,1,5,2,Київська,ЖК Журавлівський
Рівне,Політон,"вул. Відінська, 5В",60000,872,68.8,5,9,2,Немає в цьому місті,ЖК Беркут
Харків,Шевченківський,"вул. Букова, 1А",17850,350,51.0,2,6,2,Олексіївська,Не ЖК
Вінниця,Ленінський,"вул. Пирогова, 76",115500,1724,67.0,2,13,2,Немає в цьому місті,ЖК Пироговський
Київ,Солом'янський,"вул. Сергія Колоса, 3",38500,2092,18.4,7,7,1,Васильківська,Не ЖК
Тернопіль,Бам,вул. Київська,36900,756,48.8,9,9,2,Немає в цьому місті,Не ЖК
Київ,Дарницький,"вул. Урлівська, 23А",72000,1846,39.2,25,25,1,Осокорки,Не ЖК
Ірпінь,Не відомо,"вул. Університетська(Карла Маркса), 2З",49900,1257,39.7,11,12,1,Немає в цьому місті,ЖК Сяйво
Хмельницький,Виставка,"Старокостянтинівське шосе, 20/6",85000,818,103.9,8,9,3,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,вул. Пирогова,47500,1250,38.0,10,10,1,Немає в цьому місті,Не ЖК
Київ,Солом'янський,"вул. Митрополита Василя Липківського(Урицького), 37В",99100,1955,50.7,1,26,1,Не вказано,ЖК Династія
Тернопіль,Канада,"просп. Бандери Степана, 83В",75000,884,84.8,9,10,3,Немає в цьому місті,ЖК Парковий комплекс
Петропавлівська Борщагівка,Не відомо,"вул. Садова, 1В",63000,1658,38.0,4,10,1,Немає в цьому місті,Не ЖК
Харків,Індустріальний,вул. Велика Кільцева,33000,446,74.0,5,5,3,Індустріальна,ЖК Воробйові гори
Святопетрівське,Не відомо,"вул. Теплична, 38",58999,810,72.8,9,10,2,Немає в цьому місті,Не ЖК
Львів,Франківський,вул. Стрийська,115000,1533,75.0,12,16,2,Немає в цьому місті,ЖК Національний
Київ,Печерський,"вул. Коновальця Євгена, 15 корпус 1",95000,1583,60.0,2,9,2,Олімпійська,Не ЖК
Київ,Подільський,"вул. Віктора Некрасова(Північно-Сирецька), 8",80000,777,103.0,25,26,3,Нивки,Не ЖК
Полтава,Київський,"вул. Рєпіна, 12А",37999,677,56.1,1,5,3,Немає в цьому місті,Не ЖК
Чернівці,Не відомо,вул. Рівненська,118000,1513,78.0,8,9,2,Немає в цьому місті,Не ЖК
Івано-Франківськ,Не відомо,"вул. Карпатська, 17А",59500,1355,43.9,1,9,1,Немає в цьому місті,ЖК Квартал Карпатський
Івано-Франківськ,Пасічна,вул. Хіміків,48000,842,57.0,2,10,2,Немає в цьому місті,Не ЖК
Київ,Шевченківський,"вул. Нагірна, 16/18",137000,1442,95.0,10,25,3,Лук'янівська,Не ЖК
Одеса,Пересипський,вул. Академіка Заболотного,22000,647,34.0,6,9,1,Немає в цьому місті,Не ЖК
Хмельницький,Не відомо,"вул. Деповська, 4",25000,694,36.0,2,5,1,Немає в цьому місті,Не ЖК
Дніпро,Центральний,"просп. Яворницького Дмитра, 72Б",80000,1311,61.0,5,18,2,Не вказано,ЖК Дельмар Люкс
Вінниця,Ленінський,вул. Келецька,64000,837,76.5,3,9,4,Немає в цьому місті,Не ЖК
Тернопіль,Бам,вул. Київська,107000,682,157.0,2,10,4,Немає в цьому місті,Не ЖК
Одеса,Приморський,пров. Удільний,77200,1417,54.5,4,14,1,Немає в цьому місті,ЖК Париж
Одеса,Приморський,пров. Удільний,83500,1418,58.9,4,14,1,Немає в цьому місті,ЖК Париж
Київ,Святошинський,"вул. Тулузи, 2/58",60000,942,63.7,2,9,3,Не вказано,Не ЖК
