City,Region,Address,Price(USD),Price for square metre(USD),Total area(m²),Floor,Num of floors,Num of rooms,Subway,Apartment complex
Київ,Солом'янський,"вул. Митрополита Василя Липківського(Урицького), 37В",93000,1632,57.0,21,26,1,Не вказано,ЖК Династія
Київ,Шевченківський,"вул. Жилянська, 118",86000,1623,53.0,17,32,1,Вокзальна,ЖК Елегант
Київ,Солом'янський,"просп. Повітряних Сил(Повітрофлотський), 56Б",95325,1408,67.7,12,26,2,Вокзальна,ЖК Ok'Land
Київ,Дарницький,"вул. Бориса Гмирі, 1/2",117000,1117,104.7,3,14,3,Позняки,Не ЖК
Ірпінь,Не відомо,"вул. Достоєвського, 1В/19",30800,814,37.85,5,9,1,Немає в цьому місті,ЖК Синергія Сіті
Ірпінь,Не відомо,"вул. Достоєвського, 19",35800,1116,32.07,4,9,1,Немає в цьому місті,ЖК Синергія Сіті
Київ,Подільський,"просп. Європейського Союзу(Правди), 53/46",55000,1279,43.0,23,26,1,Не вказано,ЖК Варшавський Плюс
Київ,Голосіївський,"вул. Михайла Максимовича, 26В",80750,1364,59.2,13,19,2,Васильківська,ЖК Нова Англія
Київ,Солом'янський,"просп. Повітряних Сил(Повітрофлотський), 56",54000,1286,42.0,22,24,1,Не вказано,ЖК Ok'Land
Київ,Голосіївський,"вул. Зої Бутенко(Сєченова), 10 корпус 1",45000,964,46.7,3,5,2,Васильківська,Не ЖК
Київ,Голосіївський,"вул. Михайла Максимовича, 24В",89000,2171,43.0,14,21,2,Васильківська,ЖК Нова Англія
Київ,Голосіївський,"вул. Антоновича(Горького), 166",179000,2490,71.9,5,12,3,Либідська,Не ЖК
Київ,Голосіївський,"вул. Михайла Максимовича, 26Г",100000,2439,41.0,6,19,1,Васильківська,ЖК Нова Англія
Київ,Деснянський,"вул. Шолом-Алейхема, 1",55000,853,64.5,8,9,3,Чернігівська,Не ЖК
Київ,Голосіївський,"просп. Академіка Глушкова, 9В",165000,1552,106.3,2,24,3,Іподром,Не ЖК
Київ,Святошинський,"вул. Підлісна, 5/21",58000,1160,50.0,7,9,2,Академмістечко,Не ЖК
Київ,Дарницький,"вул. Архітектора Вербицького, 1В",86000,1211,71.0,13,23,2,Харківська,ЖК Злагода
Київ,Дарницький,"вул. Братів Чебінєєвих(Чернігівська), 8",85000,1214,70.0,18,23,3,Вирлиця,ЖК Terracotta
